Well.Name,Location,Lat,Long
G3549,Turkey Point,25.492944,-80.349083
G860,Cutler,25.621889,-80.322861
G580A,Cape Florida,25.667094,-80.302564
F319,Key Biscayne Yacht Club,25.704722,-80.288333
F179,Virginia Key,25.745647,-80.2464
F45,San Marino Island,25.828839,-80.204156
G561,Port Laudania,26.095833,-80.138889
G1220,Ft. Lauderdale Bahia Yacht Club,26.131061,-80.14625
G2147,Hillsboro,26.250444,-80.10125
G2866,Hillsboro,26.278056,-80.113139
G1260,Deerfield Beach,26.317806,-80.115333
PB1680,Boca Raton,26.366778,-80.094806
